dispatching_base_number,date,active_vehicles,trips,trip_date,day_of_week,day_name,is_weekend,month,base_encoded,trips_lag_1,trips_lag_7,trips_lag_14,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,trips_per_vehicle,predicted_trips,predicted_trips_per_vehicle
B02512,1/8/2015,238,1772,2015-01-08,3,Thursday,0,1,0,1446.0,1132.0,,1090.0,232.93132035001216,,,7.445378151260504,1770.4983,7.439068449645483
B02512,1/9/2015,224,1560,2015-01-09,4,Friday,0,1,0,1772.0,875.0,,1181.428571428571,348.9001085042619,,,6.964285714285714,1562.7527,6.9765744890485495
B02512,1/10/2015,206,1646,2015-01-10,5,Saturday,1,1,0,1560.0,1088.0,,1279.2857142857142,344.6673344379642,,,7.990291262135922,1649.5958,8.00774672424909
B02512,1/11/2015,162,1104,2015-01-11,6,Sunday,1,1,0,1646.0,791.0,,1359.0,357.3471701301132,,,6.814814814814815,1104.547,6.818191339940201
B02512,1/12/2015,217,1399,2015-01-12,0,Monday,0,1,0,1104.0,984.0,,1403.7142857142858,287.10840826286886,,,6.447004608294931,1397.8798,6.441842215401786
B02512,1/13/2015,234,1652,2015-01-13,1,Tuesday,0,1,0,1399.0,1314.0,,1463.0,221.3014535273852,,,7.05982905982906,1651.9948,7.059806628104968
B02512,1/14/2015,233,1582,2015-01-14,2,Wednesday,0,1,0,1652.0,1446.0,,1511.2857142857142,220.24434482767444,,,6.789699570815451,1573.8412,6.754683203963251
B02512,1/15/2015,237,1636,2015-01-15,3,Thursday,0,1,0,1582.0,1772.0,1132.0,1530.7142857142858,219.5227507463366,1310.357142857143,315.55631147908565,6.90295358649789,1640.2418,6.920851566620517
B02512,1/16/2015,234,1481,2015-01-16,4,Friday,0,1,0,1636.0,1560.0,875.0,1511.2857142857142,199.73542023196137,1346.357142857143,322.3201006030298,6.329059829059829,1482.0525,6.333557650574252
B02512,1/17/2015,201,1281,2015-01-17,5,Saturday,1,1,0,1481.0,1646.0,1088.0,1500.0,198.7536163193015,1389.642857142857,293.55817327899604,6.373134328358209,1277.8169,6.357297982742537
B02512,1/18/2015,177,1521,2015-01-18,6,Sunday,1,1,0,1281.0,1104.0,791.0,1447.857142857143,201.9203048824204,1403.428571428571,282.6315117402364,8.59322033898305,1522.4924,8.601652156161723
B02512,1/19/2015,168,1025,2015-01-19,0,Monday,0,1,0,1521.0,1399.0,984.0,1507.428571428571,133.48015725549809,1455.571428571429,221.73050665710736,6.101190476190476,1025.5305,6.104348318917411
B02512,1/20/2015,221,1310,2015-01-20,1,Tuesday,0,1,0,1025.0,1652.0,1314.0,1454.0,226.53182263573208,1458.5,215.19749426622397,5.927601809954751,1310.2472,5.928720327524038
B02512,1/21/2015,242,1519,2015-01-21,2,Wednesday,0,1,0,1310.0,1582.0,1446.0,1405.142857142857,213.19899043806384,1458.2142857142858,215.4066560543741,6.276859504132231,1518.7865,6.27597726869189
