trip_date,total_trips,total_vehicles,avg_trips_per_vehicle
2015-01-08,71409.82,7999,8.554910323323744
2015-01-09,70305.92,7989,8.363545662361876
2015-01-10,78485.33,7346,10.02832455927517
2015-01-11,57013.695,6571,8.264622870702276
2015-01-12,57643.707,7364,7.488997877612348
2015-01-13,63501.47,7559,8.069195366200525
2015-01-14,63327.81,7849,7.670445162607197
2015-01-15,66737.03,8080,7.913823176477979
2015-01-16,72485.58,8273,8.233799559516576
2015-01-17,73358.016,7527,9.06285447886131
2015-01-18,72469.53,6863,10.079050223123055
2015-01-19,45755.543,5945,7.354276767507706
2015-01-20,54769.48,7592,6.904116013366831
2015-01-21,59150.754,7948,7.133887744862501
2015-01-22,65597.94,8267,7.656463808801621
2015-01-23,71821.016,8490,8.105490240125464
2015-01-24,80711.69,7643,9.989936469186295
2015-01-25,57894.79,6787,8.163894414516898
2015-01-26,43388.35,6533,6.345734692547964
2015-01-27,25257.07,3496,6.88632807264133
2015-01-28,60440.926,7815,7.423512242219885
2015-01-29,68991.54,8376,7.974757403213014
2015-01-30,83721.09,8693,9.327979942846232
2015-01-31,92250.055,8223,10.754329994603657
2015-02-01,76912.68,7752,9.411223882020671
2015-02-02,68982.26,7080,9.640216900529003
2015-02-03,70188.74,7840,8.77085774032709
2015-02-04,66836.84,8185,8.036350913325668
2015-02-05,80902.234,8833,8.998276450214368
2015-02-06,85938.84,8937,9.418394379731058
2015-02-07,81167.23,8119,9.609941551184606
2015-02-08,63004.082,7226,8.42545074732739
2015-02-09,61953.535,7688,7.858751580875691
2015-02-10,64767.684,8029,7.9561166641372365
2015-02-11,72464.76,8515,8.399225878429723
2015-02-12,83246.91,9123,8.974540096682013
2015-02-13,98013.445,9604,10.05421044777415
2015-02-14,100345.38,8973,10.834890670975055
2015-02-15,89401.4,7939,10.946959399610543
2015-02-16,72107.96,7551,9.314060051744713
2015-02-17,73037.34,8403,8.569727962527578
2015-02-18,72248.195,8442,8.401769467786336
2015-02-19,88510.98,9030,9.671321109396219
2015-02-20,96724.3,9649,9.90643488076626
2015-02-21,94733.94,8765,10.526951153241265
2015-02-22,67658.08,7620,8.684870220441251
2015-02-23,71247.97,8197,8.601659954056737
2015-02-24,77526.695,8773,8.631498217664328
2015-02-25,74747.02,8830,8.327696599785982
2015-02-26,87405.664,9227,9.11495530297262
2015-02-27,90825.64,9486,9.267053233226724
2015-02-28,92680.305,8681,10.133834317733484
