dispatching_base_number,date,active_vehicles,trips,trip_date
B02512,1/1/2015,190,1132,2015-01-01
B02765,1/1/2015,225,1765,2015-01-01
B02764,1/1/2015,3427,29421,2015-01-01
B02682,1/1/2015,945,7679,2015-01-01
B02617,1/1/2015,1228,9537,2015-01-01
B02598,1/1/2015,870,6903,2015-01-01
B02598,1/2/2015,785,4768,2015-01-02
B02617,1/2/2015,1137,7065,2015-01-02
B02512,1/2/2015,175,875,2015-01-02
B02682,1/2/2015,890,5506,2015-01-02
B02765,1/2/2015,196,1001,2015-01-02
B02764,1/2/2015,3147,19974,2015-01-02
B02765,1/3/2015,201,1526,2015-01-03
B02617,1/3/2015,1188,10664,2015-01-03
B02598,1/3/2015,818,7432,2015-01-03
B02682,1/3/2015,915,8010,2015-01-03
B02512,1/3/2015,173,1088,2015-01-03
B02764,1/3/2015,3215,29729,2015-01-03
B02512,1/4/2015,147,791,2015-01-04
B02682,1/4/2015,812,5621,2015-01-04
B02598,1/4/2015,746,5223,2015-01-04
B02765,1/4/2015,183,993,2015-01-04
B02617,1/4/2015,1088,7729,2015-01-04
B02764,1/4/2015,2862,20441,2015-01-04
B02512,1/5/2015,194,984,2015-01-05
B02682,1/5/2015,951,6012,2015-01-05
B02617,1/5/2015,1218,7899,2015-01-05
B02764,1/5/2015,3387,20926,2015-01-05
B02598,1/5/2015,907,5798,2015-01-05
B02765,1/5/2015,227,1133,2015-01-05
B02764,1/6/2015,3473,25301,2015-01-06
B02682,1/6/2015,1022,7491,2015-01-06
B02617,1/6/2015,1336,10128,2015-01-06
B02765,1/6/2015,234,1376,2015-01-06
B02512,1/6/2015,218,1314,2015-01-06
B02598,1/6/2015,933,6816,2015-01-06
B02617,1/7/2015,1363,11528,2015-01-07
B02682,1/7/2015,1039,9078,2015-01-07
B02764,1/7/2015,3603,29949,2015-01-07
B02765,1/7/2015,248,1704,2015-01-07
B02512,1/7/2015,217,1446,2015-01-07
B02598,1/7/2015,974,8397,2015-01-07
B02765,1/8/2015,262,1911,2015-01-08
B02598,1/8/2015,1070,10050,2015-01-08
