dispatching_base_number,date,active_vehicles,trips,trip_date,day_of_week,day_name,is_weekend,month,base_encoded,trips_lag_1,trips_lag_7,trips_lag_14,roll_mean_7,roll_std_7,roll_mean_14,roll_std_14,trips_per_vehicle
B02512,1/8/2015,238,1772,2015-01-08,3,Thursday,0,1,0,1446.0,1132.0,,1090.0,232.93132035001216,,,7.445378151260504
B02598,1/8/2015,1070,10050,2015-01-08,3,Thursday,0,1,1,8397.0,6903.0,,6476.714285714285,1281.2142306273,,,9.392523364485982
B02617,1/8/2015,1463,13462,2015-01-08,3,Thursday,0,1,2,11528.0,9537.0,,9221.42857142857,1680.7283001864457,,,9.20164046479836
B02682,1/8/2015,1135,10416,2015-01-08,3,Thursday,0,1,3,9078.0,7679.0,,7056.714285714285,1361.837693986293,,,9.177092511013216
B02764,1/8/2015,3831,33802,2015-01-08,3,Thursday,0,1,4,29949.0,29421.0,,25105.85714285714,4637.816958748711,,,8.823283737927435
B02765,1/8/2015,262,1911,2015-01-08,3,Thursday,0,1,5,1704.0,1765.0,,1356.857142857143,322.8009854236448,,,7.293893129770993
B02512,1/9/2015,224,1560,2015-01-09,4,Friday,0,1,0,1772.0,875.0,,1181.4285714285713,348.9001085042619,,,6.964285714285714
B02598,1/9/2015,1070,9538,2015-01-09,4,Friday,0,1,1,10050.0,4768.0,,6926.285714285715,1871.7598416361818,,,8.914018691588785
B02617,1/9/2015,1455,13165,2015-01-09,4,Friday,0,1,2,13462.0,7065.0,,9782.142857142857,2332.064280744382,,,9.048109965635739
B02682,1/9/2015,1140,10477,2015-01-09,4,Friday,0,1,3,10416.0,5506.0,,7447.714285714285,1868.8234011703469,,,9.190350877192982
B02764,1/9/2015,3820,33517,2015-01-09,4,Friday,0,1,4,33802.0,19974.0,,25731.714285714286,5527.456308112733,,,8.774083769633508
B02765,1/9/2015,280,2039,2015-01-09,4,Friday,0,1,5,1911.0,1001.0,,1377.7142857142858,356.52289046928166,,,7.2821428571428575
B02512,1/10/2015,206,1646,2015-01-10,5,Saturday,1,1,0,1560.0,1088.0,,1279.2857142857142,344.6673344379642,,,7.990291262135922
B02598,1/10/2015,949,10287,2015-01-10,5,Saturday,1,1,1,9538.0,7432.0,,7607.714285714285,1822.6971511367171,,,10.839831401475237
B02617,1/10/2015,1331,13856,2015-01-10,5,Saturday,1,1,2,13165.0,10664.0,,10653.57142857143,2286.7839758886175,,,10.410217881292262
B02682,1/10/2015,1057,11629,2015-01-10,5,Saturday,1,1,3,10477.0,8010.0,,8157.857142857143,1950.6923068978547,,,11.001892147587512
B02764,1/10/2015,3558,38864,2015-01-10,5,Saturday,1,1,4,33517.0,29729.0,,27666.428571428572,5546.383261704358,,,10.922990444069702
B02765,1/10/2015,245,2202,2015-01-10,5,Saturday,1,1,5,2039.0,1526.0,,1526.0,388.18294655999506,,,8.987755102040817
B02512,1/11/2015,162,1104,2015-01-11,6,Sunday,1,1,0,1646.0,791.0,,1359.0,357.34717013011317,,,6.814814814814815
B02598,1/11/2015,832,7176,2015-01-11,6,Sunday,1,1,1,10287.0,5223.0,,8015.571428571428,2078.3251956918625,,,8.625
B02617,1/11/2015,1228,10932,2015-01-11,6,Sunday,1,1,2,13856.0,7729.0,,11109.57142857143,2587.6686326461804,,,8.90228013029316
B02682,1/11/2015,943,8461,2015-01-11,6,Sunday,1,1,3,11629.0,5621.0,,8674.857142857143,2344.7512610489143,,,8.972428419936373
B02764,1/11/2015,3186,27681,2015-01-11,6,Sunday,1,1,4,38864.0,20441.0,,28971.428571428572,6997.4332641129395,,,8.688323917137476
B02765,1/11/2015,220,1672,2015-01-11,6,Sunday,1,1,5,2202.0,993.0,,1622.5714285714287,464.7238811534067,,,7.6
B02512,1/12/2015,217,1399,2015-01-12,0,Monday,0,1,0,1104.0,984.0,,1403.7142857142858,287.10840826286886,,,6.447004608294931
B02598,1/12/2015,964,7915,2015-01-12,0,Monday,0,1,1,7176.0,5798.0,,8294.57142857143,1745.3820839711912,,,8.21058091286307
B02617,1/12/2015,1323,10662,2015-01-12,0,Monday,0,1,2,10932.0,7899.0,,11567.142857142857,2133.6135567444753,,,8.058956916099774
B02682,1/12/2015,1082,9107,2015-01-12,0,Monday,0,1,3,8461.0,6012.0,,9080.57142857143,1938.8404487513362,,,8.416820702402957
B02764,1/12/2015,3499,26852,2015-01-12,0,Monday,0,1,4,27681.0,20926.0,,30005.714285714286,5988.783953199115,,,7.674192626464704
B02765,1/12/2015,279,1711,2015-01-12,0,Monday,0,1,5,1672.0,1133.0,,1719.5714285714287,373.28043842972227,,,6.132616487455197
B02512,1/13/2015,234,1652,2015-01-13,1,Tuesday,0,1,0,1399.0,1314.0,,1463.0,221.3014535273852,,,7.05982905982906
B02598,1/13/2015,975,8713,2015-01-13,1,Tuesday,0,1,1,7915.0,6816.0,,8597.0,1387.3905962873848,,,8.936410256410257
B02617,1/13/2015,1342,11825,2015-01-13,1,Tuesday,0,1,2,10662.0,10128.0,,11961.857142857143,1504.839795301749,,,8.811475409836065
B02682,1/13/2015,1092,9629,2015-01-13,1,Tuesday,0,1,3,9107.0,7491.0,,9522.714285714286,1400.63970078981,,,8.817765567765568
B02764,1/13/2015,3658,29983,2015-01-13,1,Tuesday,0,1,4,26852.0,25301.0,,30852.285714285714,4790.28738575205,,,8.196555494805905
B02765,1/13/2015,258,1697,2015-01-13,1,Tuesday,0,1,5,1711.0,1376.0,,1802.142857142857,272.12462131128353,,,6.577519379844961
B02512,1/14/2015,233,1582,2015-01-14,2,Wednesday,0,1,0,1652.0,1446.0,,1511.2857142857142,220.24434482767444,,,6.789699570815451
B02598,1/14/2015,1030,8870,2015-01-14,2,Wednesday,0,1,1,8713.0,8397.0,,8868.0,1145.7547730644624,,,8.611650485436893
B02617,1/14/2015,1405,11965,2015-01-14,2,Wednesday,0,1,2,11825.0,11528.0,,12204.285714285714,1280.0750908033633,,,8.516014234875446
B02682,1/14/2015,1174,9762,2015-01-14,2,Wednesday,0,1,3,9629.0,9078.0,,9828.142857142857,1080.214242418515,,,8.315161839863714
B02764,1/14/2015,3736,29550,2015-01-14,2,Wednesday,0,1,4,29983.0,29949.0,,31521.14285714286,4173.096669084457,,,7.909528907922912
